Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,Co2-Emissions,CPI,CPI Change (%),Fertility Rate,Forested Area (%),Gasoline Price,GDP,Infant mortality,Life expectancy,Minimum wage,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_formatted,Tax_revenue_formatted,Unemployment_rate_formatted,Life_expectancy_formatted
Latvia,30,31.10%,"64,589",10,"7,004",116.86,2.80%,1.6,54.00%,$1.16 ,"$34,117,202,555 ",3.3,74.7,$2.80 ,3.19,"1,912,789",22.90%,38.10%,6.52%,"1,304,943",56.879635,24.603189,0.001592201,0.610666667,0.231369766,0.858479583
Lebanon,667,64.30%,"10,400",17.55,"24,796",130.02,3.00%,2.09,13.40%,$0.74 ,"$53,367,042,272 ",6.4,78.9,$2.15 ,2.1,"6,855,713",15.30%,32.20%,6.23%,"6,084,994",33.854721,35.862285,0.002490563,0.408,0.221078779,0.906747512
Lesotho,71,77.60%,"30,355",26.81,"2,512",155.86,5.20%,3.14,1.60%,$0.70 ,"$2,460,072,444 ",65.7,53.7,$0.41 ,0.07,"2,125,268",31.60%,13.60%,23.41%,"607,508",-29.609988,28.233608,0.000114808,0.842666667,0.830731015,0.617139941
Liberia,53,28.00%,"111,369",33.04,"1,386",223.13,23.60%,4.32,43.10%,$0.80 ,"$3,070,518,100 ",53.5,63.7,$0.17 ,0.04,"4,937,374",12.90%,46.20%,2.81%,"2,548,426",6.428055,-9.429499,0.000143297,0.344,0.099716111,0.73206358
Libya,4,8.70%,"1,759,540",18.83,"50,564",125.71,2.60%,2.24,0.10%,$0.11 ,"$52,076,250,948 ",10.2,72.7,$1.88 ,2.09,"6,777,452",,32.60%,18.56%,"5,448,597",26.3351,17.228331,0.002430324,,0.658623137,0.835494855
Liechtenstein,238,32.20%,160,9.9,51,99.55,1.70%,1.44,43.10%,$1.74 ,"$6,552,858,739 ",4.9161,83,$21 ,8.43,"38,019",,21.60%,1.30%,"5,464",47.1410392,9.520935,0.000305813,,0.046132009,0.953866204
Lithuania,43,47.20%,"65,300",10,"12,963",118.38,2.30%,1.63,34.80%,$1.16 ,"$54,219,315,600 ",3.3,75.7,$2.41 ,6.35,"2,786,844",16.90%,42.60%,6.35%,"1,891,013",55.169438,23.881275,0.002530338,0.450666667,0.225337119,0.869971947
Luxembourg,242,53.70%,"2,586",10.3,"8,988",115.09,1.70%,1.37,35.70%,$1.19 ,"$71,104,919,108 ",1.9,82.1,$13.05 ,3.01,"645,397",26.50%,20.40%,5.36%,"565,488",49.815273,6.129583,0.003318365,0.706666667,0.19020582,0.943523076
Madagascar,48,71.20%,"587,041",32.66,"3,905",184.33,5.60%,4.08,21.40%,$1.11 ,"$14,083,906,357 ",38.2,66.7,$0.21 ,0.18,"26,969,307",10.20%,38.30%,1.76%,"10,210,849",-18.766947,46.869107,0.000657276,0.272,0.062455642,0.766540672
Malawi,203,61.40%,"118,484",34.12,"1,298",418.34,9.40%,4.21,33.20%,$1.15 ,"$7,666,704,427 ",35.3,63.8,$0.12 ,0.04,"18,628,747",17.30%,34.50%,5.65%,"3,199,301",-13.254308,34.301525,0.000357794,0.461333333,0.200496806,0.733212817
Malaysia,99,26.30%,"329,847",16.75,"248,289",121.46,0.70%,2,67.60%,$0.45 ,"$364,701,517,788 ",6.7,76,$0.93 ,1.51,"32,447,385",12.00%,38.70%,3.32%,"24,475,766",4.210484,101.975766,0.017020096,0.32,0.117814053,0.873419656
Maldives,"1,802",26.30%,298,14.2,"1,445",99.7,0.20%,1.87,3.30%,$1.63 ,"$5,729,248,472 ",7.4,78.6,$0.07 ,4.56,"530,953",19.50%,30.20%,6.14%,"213,645",3.202778,73.22068,0.000267376,0.52,0.217885025,0.903299802
Mali,17,33.80%,"1,240,192",41.54,"3,179",108.73,-1.70%,5.88,3.80%,$1.12 ,"$17,510,141,171 ",62,58.9,$0.23 ,0.13,"19,658,031",11.60%,54.50%,7.22%,"8,479,688",17.570692,-3.996166,0.000817173,0.309333333,0.256210078,0.676900234
Malta,"1,380",32.40%,316,9.2,"1,342",113.45,1.60%,1.23,1.10%,$1.36 ,"$14,786,156,563 ",6.1,82.3,$5.07 ,2.86,"502,653",26.20%,44.00%,3.47%,"475,902",35.937496,14.375416,0.000690049,0.698666667,0.123136977,0.945821549
Marshall Islands,329,63.90%,181,29.03,143,,5.20%,4.05,70.20%,$1.44 ,"$221,278,000 ",27.4,65.2,$2.00 ,0.42,"58,791",17.80%,65.90%,0%,"45,514",7.131474,171.184478,1.03E-05,0.474666667,0,0.749302126
Mauritania,5,38.50%,"1,030,700",33.69,"2,739",135.02,2.30%,4.56,0.20%,$1.13 ,"$7,593,752,450 ",51.5,64.7,$0.53 ,0.19,"4,525,696",,67.00%,9.55%,"2,466,821",21.00789,-10.940835,0.00035439,,0.338892832,0.743555944
Mauritius,626,42.40%,"2,040",10.2,"4,349",129.91,0.40%,1.41,19.00%,$1.12 ,"$14,180,444,557 ",13.6,74.4,$0.38 ,2.53,"1,265,711",19.10%,22.20%,6.67%,"515,980",-20.348404,57.552152,0.000661781,0.509333333,0.23669269,0.855031874
Mexico,66,54.60%,"1,964,375",17.6,"486,406",141.54,3.60%,2.13,33.90%,$0.73 ,"$1,258,286,717,125 ",11,75,$0.49 ,2.38,"126,014,024",13.10%,55.10%,3.42%,"102,626,859",23.634501,-102.552784,0.058722435,0.349333333,0.121362669,0.861927292
Federated States of Micronesia,784,31.40%,702,22.82,143,112.1,0.50%,3.05,91.90%,$1.61 ,"$401,932,279 ",25.6,67.8,$2.65 ,0.18,"113,815",25.20%,60.50%,0.70%,"25,963",7.425554,150.550812,1.88E-05,0.672,0.024840312,0.779182272
Moldova,123,74.20%,"33,851",10.1,"5,115",166.2,4.80%,1.26,12.60%,$0.80 ,"$11,955,435,457 ",13.6,71.8,$0.31 ,3.21,"2,657,637",17.70%,38.70%,5.47%,"1,135,502",47.411631,28.369885,0.000557943,0.472,0.194109297,0.825151728
Monaco,"26,337",0.00%,2,5.9,0.75,,6.60%,2.0786,0%,$2.00 ,"$7,184,844,193 ",2.6,87.0143,$11.72 ,6.56,"38,964",,0%,0.66%,"38,964",43.7384176,7.4246158,0.000335306,,0.023420866,1
Mongolia,2,71.50%,"1,564,116",24.13,"25,368",195.76,7.30%,2.9,8.00%,$0.72 ,"$13,852,850,259 ",14,69.7,$0.65 ,2.86,"3,225,167",16.80%,25.70%,6.01%,"2,210,626",46.862496,103.846656,0.000646493,0.448,0.213271824,0.801017764
Montenegro,47,19.00%,"13,812",11.73,"2,017",116.32,2.60%,1.75,61.50%,$1.16 ,"$5,494,736,901 ",2.3,76.8,$1.23 ,2.76,"622,137",,22.20%,14.88%,"417,765",42.708678,19.37439,0.000256431,,0.528034067,0.882613547
Morocco,83,68.50%,"446,550",18.94,"61,276",111.07,0.20%,2.42,12.60%,$0.99 ,"$118,725,279,596 ",19.2,76.5,$1.60 ,0.73,"36,910,560",21.90%,45.80%,9.02%,"22,975,026",31.791702,-7.09262,0.005540738,0.584,0.320085167,0.879165838
Mozambique,40,63.50%,"799,380",37.52,"7,943",182.31,2.80%,4.85,48.00%,$0.65 ,"$14,934,159,926 ",54,60.2,$0.27 ,0.08,"30,366,036",0.00%,36.10%,3.24%,"11,092,106",-18.665695,35.529562,0.000696956,0,0.11497516,0.691840307
Myanmar,83,19.50%,"676,578",17.55,"25,280",168.18,8.80%,2.15,43.60%,$0.54 ,"$76,085,852,617 ",36.8,66.9,$0.39 ,0.68,"54,045,420",5.40%,31.20%,1.58%,"16,674,093",21.916221,95.955974,0.003550818,0.144,0.056068133,0.768839145
Namibia,3,47.10%,"824,292",28.64,"4,228",157.97,3.70%,3.4,8.30%,$0.76 ,"$12,366,527,719 ",29,63.4,$0.42 ,0.42,"2,494,530",27.10%,20.70%,20.27%,"1,273,258",-22.95764,18.49041,0.000577128,0.722666667,0.719304471,0.728615871
Nauru,541,20.00%,21,25.923,225,,1.23%,3.4252,0%,$1.61 ,"$133,000,000 ",15.054,64.1878,$15 ,1.35,"10,084",,20%,5.10%,88.10%,-0.522778,166.931503,6.21E-06,,0.180979418,0.737669555
Nepal,203,28.70%,"147,181",19.89,"9,105",188.73,5.60%,1.92,25.40%,$0.91 ,"$30,641,380,604 ",26.7,70.5,$0.36 ,0.75,"28,608,710",20.70%,41.80%,1.41%,"5,765,513",28.394857,84.124008,0.001429989,0.552,0.050035486,0.810211655
Netherlands,508,53.30%,"41,543",9.7,"170,780",115.91,2.60%,1.59,11.20%,$1.68 ,"$909,070,395,161 ",3.3,81.8,$10.29 ,3.61,"17,332,850",23.00%,41.20%,3.20%,"15,924,729",52.132633,5.291266,0.04242501,0.613333333,0.113555713,0.940075367
New Zealand,18,40.50%,"268,838",11.98,"34,382",114.24,1.60%,1.71,38.60%,$1.40 ,"$206,928,765,544 ",4.7,81.9,$11.49 ,3.59,"4,841,000",29.00%,34.60%,4.07%,"4,258,860",-40.900557,174.885971,0.009657068,0.773333333,0.144428673,0.941224603
Nicaragua,55,42.10%,"130,370",20.64,"5,592",162.74,5.40%,2.4,25.90%,$0.91 ,"$12,520,915,291 ",15.7,74.3,$0.54 ,0.98,"6,545,502",15.60%,60.60%,6.84%,"3,846,137",12.865416,-85.207229,0.000584333,0.416,0.242725337,0.853882638
Niger,19,36.10%,"1,267,000",46.08,"2,017",109.32,-2.50%,6.91,0.90%,$0.88 ,"$12,928,145,120 ",48,62,$0.29 ,0.04,"23,310,715",11.80%,47.20%,0.47%,"3,850,231",17.607789,8.081666,0.000603338,0.314666667,0.016678495,0.712526562
Nigeria,226,77.70%,"923,768",37.91,"120,369",267.51,11.40%,5.39,7.20%,$0.46 ,"$448,120,428,859 ",75.7,54.3,$0.54 ,0.38,"200,963,599",1.50%,34.80%,8.10%,"102,806,948",9.081999,8.675277,0.020913137,0.04,0.287437899,0.62403536
North Korea,214,21.80%,"120,538",13.89,"28,284",,31.78%,1.9,40.70%,$0.58 ,"$32,100,000,000 ",13.7,72.1,$3 ,3.67,"25,666,161",,10%,2.74%,"15,947,412",40.339852,127.510093,0.001498061,,0.097232079,0.828599437
North Macedonia,83,50.00%,"25,713",10.034,8896732,107.2,6.50%,1.465,39.70%,$1.35 ,"$10,220,781,069 ",9.221,76.26,$1.51 ,3,"1,836,713",,10%,13.30%,59.60%,41.608635,21.745275,0.000476989,,0.471965933,0.876407671
Norway,15,2.70%,"323,802",10.4,"41,023",120.27,2.20%,1.56,33.20%,$1.78 ,"$403,336,363,636 ",2.1,82.8,$22.80 ,2.92,"5,347,896",23.90%,36.20%,3.35%,"4,418,218",60.472024,8.468946,0.018823129,0.637333333,0.118878637,0.951567731
Oman,16,4.60%,"309,500",19.19,"63,457",113.53,0.10%,2.89,0.02%,$0.45 ,"$76,983,094,928 ",9.8,77.6,$4.33 ,2,"5,266,535",2.50%,27.40%,2.67%,"4,250,777",21.4735329,55.975413,0.003592691,0.066666667,0.094748048,0.891807439
Pakistan,287,47.80%,"796,095",28.25,"201,150",182.32,10.60%,3.51,1.90%,$0.79 ,"$304,400,000,000 ",57.2,67.1,$0.69 ,0.98,"216,565,318",9.20%,33.90%,4.45%,"79,927,762",30.375321,69.345116,0.014205911,0.245333333,0.157913414,0.771137618
Palau,39,10.90%,459,14,224,118.17,1.30%,2.21,87.60%,$1.34 ,"$283,994,900 ",16.6,69.1,$3.00 ,1.18,"18,233",21.30%,76.60%,1.70%,"14,491",7.51498,134.58252,1.33E-05,0.568,0.060326473,0.794122345
Panama,58,30.40%,"75,420",18.98,"10,715",122.07,-0.40%,2.46,61.90%,$0.74 ,"$66,800,800,000 ",13.1,78.3,$1.53 ,1.57,"4,246,439",,37.20%,3.90%,"2,890,084",8.537981,-80.782127,0.003117497,,0.138396026,0.899852093
Papua New Guinea,20,2.60%,"462,840",27.07,"7,536",155.99,3.60%,3.56,74.10%,$1.36 ,"$24,969,611,435 ",38,64.3,$1.16 ,0.07,"8,776,109",13.60%,37.10%,2.46%,"1,162,834",-6.314993,143.95555,0.001165296,0.362666667,0.087295955,0.738958999
Paraguay,18,55.10%,"406,752",20.57,"7,407",143.82,2.80%,2.43,37.70%,$1.04 ,"$38,145,288,940 ",17.2,74.1,$1.55 ,1.35,"7,044,636",10.00%,35.00%,4.81%,"4,359,150",-23.442503,-58.443832,0.001780186,0.266666667,0.170688432,0.851584165
Peru,26,18.50%,"1,285,216",17.95,"57,414",129.78,2.10%,2.25,57.70%,$0.99 ,"$226,848,050,820 ",11.1,76.5,$1.28 ,1.27,"32,510,453",14.30%,36.80%,3.31%,"25,390,339",-9.189967,-75.015152,0.010586673,0.381333333,0.117459191,0.879165838
Philippines,368,41.70%,"300,000",20.55,"122,287",129.61,2.50%,2.58,27.80%,$0.86 ,"$376,795,508,680 ",22.5,71.1,$1.12 ,0.6,"108,116,615",14.00%,43.10%,2.15%,"50,975,903",12.879721,121.774017,0.017584506,0.373333333,0.076295245,0.817107073
Poland,124,46.90%,"312,685",10.2,"299,037",114.11,2.20%,1.46,30.90%,$1.07 ,"$592,164,400,688 ",3.8,77.6,$2.93 ,2.38,"37,970,874",17.40%,40.80%,3.47%,"22,796,574",51.919438,19.145136,0.027635463,0.464,0.123136977,0.891807439
Portugal,111,39.50%,"92,212",8.5,"48,742",110.62,0.30%,1.38,34.60%,$1.54 ,"$237,686,075,635 ",3.1,81.3,$3.78 ,5.12,"10,269,417",22.80%,39.80%,6.33%,"6,753,579",39.399872,-8.224454,0.011092468,0.608,0.224627395,0.934329185
Qatar,248,5.80%,"11,586",9.54,"103,259",115.38,-0.70%,1.87,0.00%,$0.40 ,"$183,466,208,791 ",5.8,80.1,$5.72 ,2.49,"2,832,067",14.70%,11.30%,0.09%,"2,809,071",25.354826,51.183884,0.008562105,0.392,0.003193754,0.920538348
Romania,84,58.80%,"238,391",9.6,"69,259",123.78,3.80%,1.71,30.10%,$1.16 ,"$250,077,444,017 ",6.1,75.4,$2.25 ,2.98,"19,356,544",14.60%,20.00%,3.98%,"10,468,793",45.943161,24.96676,0.011670755,0.389333333,0.141234918,0.866524238
Russia,9,13.30%,"17,098,240",11.5,"1,732,027",180.75,4.50%,1.57,49.80%,$0.59 ,"$1,699,876,578,871 ",6.1,72.7,$0.53 ,4.01,"144,373,535",11.40%,46.20%,4.59%,"107,683,889",61.52401,105.318756,0.0793308,0.304,0.162881476,0.835494855
Rwanda,525,73.40%,"26,338",31.7,"1,115",151.09,3.40%,4.04,19.70%,$1.17 ,"$10,122,472,590 ",27,68.7,$0.98 ,0.13,"12,626,950",14.30%,33.20%,1.03%,"2,186,104",-1.940278,29.873888,0.000472401,0.381333333,0.036550745,0.7895254
Saint Kitts and Nevis,205,23.10%,261,12.6,238,104.57,-1.00%,2.11,42.30%,$14.39 ,"$1,050,992,593 ",9.8,71.3,$3.33 ,2.52,"52,823",18.50%,49.70%,5.09%,"16,269",17.357822,-62.782998,4.90E-05,0.493333333,0.180624556,0.819405546
Saint Lucia,301,17.40%,616,12,414,110.13,1.90%,1.44,33.20%,$1.30 ,"$2,122,450,630 ",14.9,76.1,$1.50 ,0.64,"182,790",18.20%,34.70%,20.71%,"34,280",13.909444,-60.978893,9.91E-05,0.485333333,0.734918382,0.874568893
Saint Vincent and the Grenadines,284,25.60%,389,14.24,220,109.67,2.30%,1.89,69.20%,$17.06 ,"$825,385,185 ",14.8,72.4,$1.16 ,0.66,"100,455",25.40%,37.00%,18.88%,"58,185",12.984305,-61.287228,3.85E-05,0.677333333,0.669978708,0.832047146
Samoa,70,12.40%,"2,831",24.38,246,117.56,1.00%,3.88,60.40%,$0.91 ,"$850,655,017 ",13.6,73.2,$0.78 ,0.34,"202,506",25.50%,19.30%,8.36%,"35,588",-13.759029,-172.104629,3.97E-05,0.68,0.296664301,0.841241037
San Marino,566,16.70%,61,6.8,213,110.63,1.00%,1.26,16.70%,$1.30 ,"$1,637,931,034 ",1.7,85.4,$7.63 ,6.11,"33,860",18.10%,36.20%,3.90%,"32,969",43.94236,12.457777,7.64E-05,0.482666667,0.138396026,0.981447877
Saudi Arabia,16,80.80%,"2,149,690",17.8,"563,449",118.4,-1.20%,2.32,0.50%,$0.24 ,"$792,966,838,162 ",6,75,$3.85 ,2.61,"34,268,528",8.90%,15.70%,5.93%,"28,807,838",23.885942,45.079162,0.037006624,0.237333333,0.210432931,0.861927292
Senegal,87,46.10%,"196,722",34.52,"10,902",109.25,1.80%,4.63,42.80%,$1.14 ,"$23,578,084,052 ",31.8,67.7,$0.31 ,0.07,"16,296,364",16.30%,44.80%,6.60%,"7,765,706",14.497401,-14.452362,0.001100355,0.434666667,0.234208659,0.778033036
Serbia,100,39.30%,"77,474",9.2,"45,221",144,1.80%,1.49,31.10%,$1.16 ,"$51,409,167,351 ",4.8,75.5,$1.57 ,3.11,"6,944,975",18.60%,36.60%,12.69%,"3,907,243",44.016521,21.005859,0.002399192,0.496,0.450319375,0.867673474
Seychelles,214,3.40%,455,17.1,605,129.96,1.80%,2.41,88.40%,$1.53 ,"$1,698,843,063 ",12.4,72.8,$2.00 ,0.95,"97,625",34.10%,30.10%,3.00%,"55,762",-4.679574,55.491977,7.93E-05,0.909333333,0.106458481,0.836644092
Sierra Leone,111,54.70%,"71,740",33.41,"1,093",234.16,14.80%,4.26,43.10%,$1.08 ,"$3,941,474,311 ",78.5,54.3,$0.57 ,0.03,"7,813,215",8.60%,30.70%,4.43%,"3,319,366",8.460555,-11.779889,0.000183943,0.229333333,0.157203691,0.62403536
Singapore,"8,358",0.90%,716,8.8,"37,535",114.41,0.60%,1.14,23.10%,$1.25 ,"$372,062,527,489 ",2.3,83.1,$22.31 ,2.29,"5,703,569",13.10%,21.00%,4.11%,"5,703,569",1.352083,103.819836,0.017363624,0.349333333,0.145848119,0.95501544
Slovakia,114,39.20%,"49,035",10.6,"32,424",115.34,2.70%,1.52,40.40%,$1.32 ,"$105,422,304,976 ",4.6,77.2,$3.11 ,3.42,"5,454,073",18.70%,49.70%,5.56%,"2,930,419",48.669026,19.699024,0.004919908,0.498666667,0.197303052,0.887210493
Slovenia,103,30.70%,"20,273",9.4,"12,633",111.05,1.60%,1.6,62.00%,$1.32 ,"$53,742,159,517 ",1.7,81,$5.25 ,3.09,"2,087,946",18.60%,31.00%,4.20%,"1,144,654",46.151241,14.995463,0.002508069,0.496,0.149041874,0.930881476
Solomon Islands,25,3.90%,"28,896",32.44,169,133.06,1.60%,4.4,77.90%,$10.81 ,"$1,425,074,226 ",17.1,72.8,$0.40 ,0.19,"669,823",29.50%,32.00%,0.58%,"162,164",-9.64571,160.156194,6.65E-05,0.786666667,0.020581973,0.836644092
Somalia,25,70.30%,"637,657",41.75,645,,,6.07,10.00%,$1.41 ,"$4,720,727,278 ",76.6,57.1,$2.63 ,0.02,"15,442,905",0.00%,10%,11.35%,"7,034,861",5.152149,46.199616,0.00022031,0,0.402767921,0.656213979
South Africa,49,79.80%,"1,219,090",20.51,"476,644",158.93,4.10%,2.41,7.60%,$0.92 ,"$351,431,649,241 ",28.5,63.9,$1.38 ,0.91,"58,558,270",27.50%,29.20%,28.18%,"39,149,717",-30.559482,22.937506,0.016400811,0.733333333,1,0.734362053
South Korea,527,17.40%,"99,720",6.4,"620,302",115.16,0.40%,0.98,63.40%,$1.22 ,"$2,029,000,000,000 ",2.7,82.6,$6.49 ,2.36,"51,709,098",15.60%,33.20%,4.15%,"42,106,719",35.907757,127.766922,0.094690517,0.416,0.147267566,0.949269258
South Sudan,18,44.70%,"644,329",35.01,"1,727","4,583.71",187.90%,4.7,11.11%,$0.28 ,"$11,997,800,751 ",63.7,57.6,$2.64 ,0.4,"11,062,113",,31.40%,12.24%,"2,201,250",6.8769919,31.3069788,0.00055992,,0.434350603,0.661960161
Spain,94,52.60%,"505,370",7.9,"244,002",110.96,0.70%,1.26,36.90%,$1.26 ,"$1,394,116,310,769 ",2.5,83.3,$5.60 ,3.87,"47,076,781",14.20%,47.00%,13.96%,"37,927,409",40.463667,-3.74922,0.065061407,0.378666667,0.495386799,0.957313913
Sri Lanka,341,43.70%,"65,610",15.83,"23,362",155.53,3.50%,2.2,32.90%,$0.88 ,"$84,008,783,756 ",6.4,76.8,$0.35 ,1,"21,803,000",11.90%,55.20%,4.20%,"4,052,088",7.873054,80.771797,0.003920569,0.317333333,0.149041874,0.882613547
Sudan,25,28.70%,"1,861,484",32.18,"20,000","1,344.19",51.00%,4.41,8.10%,$0.95 ,"$18,902,284,476 ",42.1,65.1,$0.41 ,0.26,"42,813,238",8.00%,45.40%,16.53%,"14,957,233",12.862807,30.217636,0.000882142,0.213333333,0.586586231,0.74815289
Suriname,4,0.60%,"163,820",18.54,"1,738",294.66,22.00%,2.42,98.30%,$1.29 ,"$3,985,250,737 ",16.9,71.6,$3.42 ,1.21,"581,372",19.50%,27.90%,7.33%,"384,258",3.919305,-56.027783,0.000185986,0.52,0.260113556,0.822853255
Sweden,25,7.40%,"450,295",11.4,"43,252",110.51,1.80%,1.76,68.90%,$1.42 ,"$530,832,908,738 ",2.2,82.5,$12.25 ,3.98,"10,285,453",27.90%,49.10%,6.48%,"9,021,165",60.128161,18.643501,0.02477321,0.744,0.229950319,0.948120022
Switzerland,219,38.40%,"41,277",10,"34,477",99.55,0.40%,1.52,31.80%,$1.45 ,"$703,082,435,360 ",3.7,83.6,$29.22 ,4.3,"8,574,832",10.10%,28.80%,4.58%,"6,332,428",46.818188,8.227512,0.032811848,0.269333333,0.162526615,0.960761622
Syria,95,75.80%,"185,180",23.69,"28,830",143.2,36.70%,2.81,2.70%,$0.83 ,"$40,405,006,007 ",14,71.8,$1.02 ,1.22,"17,070,135",14.20%,42.70%,8.37%,"9,358,019",34.802075,38.996815,0.001885644,0.378666667,0.297019163,0.825151728
Tajikistan,68,34.10%,"144,100",30.76,"5,310",148.57,6.00%,3.59,3.00%,$0.71 ,"$8,116,626,794 ",30.4,70.9,$0.23 ,1.7,"9,321,018",9.80%,67.30%,11.02%,"2,545,477",38.861034,71.276093,0.000378791,0.261333333,0.391057488,0.8148086
Tanzania,67,44.80%,"947,300",36.7,"11,973",187.43,3.50%,4.89,51.60%,$0.87 ,"$63,177,068,175 ",37.6,65,$0.09 ,0.01,"58,005,463",11.50%,43.80%,1.98%,"20,011,885",-6.369028,34.888822,0.002948383,0.306666667,0.070262598,0.747003653
Thailand,137,43.30%,"513,120",10.34,"283,763",113.27,0.70%,1.53,32.20%,$0.71 ,"$543,649,976,166 ",7.8,76.9,$1.06 ,0.81,"69,625,582",14.90%,29.50%,0.75%,"35,294,600",15.870032,100.992541,0.025371364,0.397333333,0.02661462,0.883762784
East Timor,89,25.60%,"14,874",29.42,495,145.38,2.60%,4.02,45.40%,$1.10 ,"$1,673,540,300 ",39.3,69.3,$0.60 ,0.72,"3,500,000",25.00%,17.30%,4.55%,"400,182",-8.874217,125.727539,7.81E-05,0.666666667,0.16146203,0.796420818
Togo,152,70.20%,"56,785",33.11,"3,000",113.3,0.70%,4.32,3.10%,$0.71 ,"$5,459,979,417 ",47.4,60.8,$0.34 ,0.08,"8,082,366",16.90%,48.20%,2.04%,"3,414,638",8.619543,0.824782,0.000254809,0.450666667,0.072391767,0.698735725
Tonga,147,45.80%,747,24.3,128,121.09,7.40%,3.56,12.50%,$4.28 ,"$450,353,314 ",13.4,70.8,$0.01 ,0.52,"100,209",22.30%,27.50%,1.12%,"24,145",-21.178986,-175.198242,2.10E-05,0.594666667,0.0397445,0.813659364
Trinidad and Tobago,273,10.50%,"5,128",12.94,"43,868",141.75,1.00%,1.73,46.00%,$0.54 ,"$24,100,202,834 ",16.4,73.4,$2.25 ,4.17,"1,394,973",19.50%,40.50%,2.69%,"741,944",10.691803,-61.222503,0.001124722,0.52,0.095457771,0.84353951
Tunisia,76,64.80%,"163,610",17.56,"29,937",155.33,6.70%,2.2,6.80%,$0.73 ,"$38,797,709,924 ",14.6,76.5,$0.47 ,1.3,"11,694,719",21.10%,60.70%,16.02%,"8,099,061",33.886917,9.537499,0.001810633,0.562666667,0.56848829,0.879165838
Turkey,110,49.80%,"783,562",16.03,"372,725",234.44,15.20%,2.07,15.40%,$1.42 ,"$754,411,708,203 ",9.1,77.4,$3.45 ,1.85,"83,429,615",17.90%,42.30%,13.49%,"63,097,818",38.963745,35.243322,0.035207311,0.477333333,0.478708304,0.889508966
Turkmenistan,13,72.00%,"488,100",23.83,"70,630",38.21,5.58%,2.79,8.80%,$0.29 ,"$40,761,142,857 ",39.3,68.1,$0.88 ,2.22,"5,942,089",,10%,3.91%,"3,092,738",38.969719,59.556278,0.001902264,,0.138750887,0.782629982
Tuvalu,393,60.00%,26,22.3,11,,,3.1047,33.30%,$0.03 ,"$47,271,463 ",20.6,65.0458,$7.63 ,0.92,"11,646",,38.8,7.90%,"7,362",-7.109535,177.64933,2.21E-06,,0.280340667,0.747530004
Uganda,229,71.90%,"241,038",38.14,"5,680",173.87,2.90%,4.96,9.70%,$0.94 ,"$34,387,229,486 ",33.8,63,$0.01 ,0.17,"44,269,594",11.70%,33.70%,1.84%,"10,784,516",1.373333,32.290275,0.001604803,0.312,0.065294535,0.724018926
Ukraine,75,71.70%,"603,550",8.7,"202,250",281.66,7.90%,1.3,16.70%,$0.83 ,"$153,781,069,118 ",7.5,71.6,$0.84 ,2.99,"44,385,155",20.10%,45.20%,8.88%,"30,835,699",48.379433,31.16558,0.007176742,0.536,0.315117104,0.822853255
United Arab Emirates,118,5.50%,"83,600",10.33,"206,324",114.52,-1.90%,1.41,4.60%,$0.49 ,"$421,142,267,938 ",6.5,77.8,$0.82 ,2.53,"9,770,529",0.10%,15.90%,2.35%,"8,479,744",23.424076,53.847818,0.019654105,0.002666667,0.083392477,0.894105911
United Kingdom,281,71.70%,"243,610",11,"379,025",119.62,1.70%,1.68,13.10%,$1.46 ,"$2,827,113,184,696 ",3.6,81.3,$10.13 ,2.81,"66,834,405",25.50%,30.60%,3.85%,"55,908,316",55.378051,-3.435973,0.131937314,0.68,0.136621718,0.934329185
United States,36,44.40%,"9,833,517",11.6,"5,006,302",117.24,7.50%,1.73,33.90%,$0.71 ,"$21,427,700,000,000 ",5.6,78.5,$7.25 ,2.61,"328,239,523",9.60%,36.60%,14.70%,"270,663,028",37.09024,-95.712891,1,0.256,0.521646558,0.902150566
Uruguay,20,82.60%,"176,215",13.86,"6,766",202.92,7.90%,1.97,10.70%,$1.50 ,"$56,045,912,952 ",6.4,77.8,$1.66 ,5.05,"3,461,734",20.10%,41.80%,8.73%,"3,303,394",-32.522779,-55.765835,0.002615582,0.536,0.30979418,0.894105911
Uzbekistan,79,62.90%,"447,400",23.3,"91,811",1573.5,15.70%,2.42,7.50%,$1.03 ,"$57,921,286,440 ",19.1,71.6,$0.24 ,2.37,"33,580,650",14.80%,31.60%,5.92%,"16,935,729",41.377491,64.585262,0.002703103,0.394666667,0.21007807,0.822853255
Vanuatu,25,15.30%,"12,189",29.6,147,117.13,2.80%,3.78,36.10%,$1.31 ,"$917,058,851 ",22.3,70.3,$1.56 ,0.17,"299,882",17.80%,8.50%,4.39%,"76,152",-15.376706,166.959158,4.28E-05,0.474666667,0.155784244,0.807913182
Venezuela,32,24.50%,"912,050",17.88,"164,175","2,740.27",254.90%,2.27,52.70%,$0.02 ,"$482,359,318,768 ",21.4,72.1,$0.01 ,1.92,"28,515,829",,73.30%,8.80%,"25,162,368",6.42375,-66.58973,0.022511017,,0.312278211,0.828599437
Vietnam,314,39.30%,"331,210",16.75,"192,668",163.52,2.80%,2.05,48.10%,$0.80 ,"$261,921,244,843 ",16.5,75.3,$0.73 ,0.82,"96,462,106",19.10%,37.60%,2.01%,"35,332,140",14.058324,108.277199,0.012223489,0.509333333,0.071327182,0.865375002
